trip_start,trip_stop,dist
2017-09-19 21:17:00,2017-09-19 21:21:00,1.05
2017-09-20 11:12:00,2017-09-20 11:16:00,1.22
2017-09-20 11:18:00,2017-09-20 11:59:00,24.15
2017-09-20 17:20:00,2017-09-20 18:07:00,24.15
2017-09-20 18:50:00,2017-09-20 19:17:00,16.02
2017-09-20 22:05:00,2017-09-20 22:32:00,17.5
2017-09-21 13:38:00,2017-09-21 13:44:00,0.72
2017-09-21 13:50:00,2017-09-21 15:26:00,35.81
2017-09-21 15:59:00,2017-09-21 16:15:00,8.26
2017-09-21 16:19:00,2017-09-21 17:32:00,28.1
2017-09-21 18:49:00,2017-09-21 19:25:00,16.05
2017-09-21 22:30:00,2017-09-21 22:59:00,16.97
2017-09-22 10:19:00,2017-09-22 10:21:00,0.43
2017-09-22 10:25:00,2017-09-22 10:26:00,0.4
2017-09-22 10:30:00,2017-09-22 10:54:00,19.15
2017-09-22 11:58:00,2017-09-22 12:02:00,1.05
2017-09-22 18:32:00,2017-09-22 18:59:00,20.95
2017-09-23 08:34:00,2017-09-23 08:51:00,1.15
2017-09-23 09:19:00,2017-09-23 10:31:00,37.57
2017-09-23 11:09:00,2017-09-23 11:23:00,5.67
2017-09-23 11:51:00,2017-09-23 12:15:00,4.64
2017-09-23 12:47:00,2017-09-23 13:40:00,8.45
2017-09-23 13:56:00,2017-09-23 15:08:00,34.62
2017-09-23 15:37:00,2017-09-23 16:07:00,1.56
2017-09-24 14:59:00,2017-09-24 15:02:00,0.43
2017-09-24 15:14:00,2017-09-24 17:09:00,6.6
2017-09-24 17:37:00,2017-09-24 18:01:00,7.05
2017-09-24 18:05:00,2017-09-24 18:07:00,0.41
2017-09-24 19:35:00,2017-09-24 20:31:00,25.28
2017-09-25 00:24:00,2017-09-25 00:26:00,0.42
2017-09-25 00:30:00,2017-09-25 01:10:00,23.13
2017-09-25 12:12:00,2017-09-25 12:38:00,19.45
2017-09-25 14:22:00,2017-09-25 14:50:00,19.86
2017-09-25 14:52:00,2017-09-25 15:54:00,35.53
2017-09-25 16:37:00,2017-09-25 18:17:00,34.54
2017-09-25 20:36:00,2017-09-25 21:08:00,28.91
2017-09-26 01:46:00,2017-09-26 02:21:00,26.32
2017-09-26 09:36:00,2017-09-26 10:18:00,24.02
2017-09-26 14:05:00,2017-09-26 14:39:00,25.3
2017-09-26 15:49:00,2017-09-26 15:58:00,1.53
2017-09-26 16:15:00,2017-09-26 16:22:00,1.1
2017-09-27 09:15:00,2017-09-27 10:16:00,24.76
2017-09-27 16:26:00,2017-09-27 17:49:00,35.87
2017-09-27 17:58:00,2017-09-27 18:46:00,27.64
2017-09-27 18:51:00,2017-09-27 18:59:00,2.08
2017-09-27 19:10:00,2017-09-27 20:17:00,21.17
2017-09-27 20:25:00,2017-09-27 21:56:00,3.6
2017-09-27 22:04:00,2017-09-27 22:32:00,16.56
2017-09-28 06:46:00,2017-09-28 07:19:00,14.4
2017-09-28 09:05:00,2017-09-28 09:29:00,8.06
2017-09-28 10:41:00,2017-09-28 11:21:00,22.34
2017-09-28 14:26:00,2017-09-28 16:05:00,35.57
2017-09-28 16:09:00,2017-09-28 16:21:00,1.17
2017-09-28 20:37:00,2017-09-28 20:40:00,1.1
2017-09-28 20:56:00,2017-09-28 21:00:00,1.15
2017-09-29 09:32:00,2017-09-29 10:02:00,19.73
